,commit,ns,nd,nf,entropy,purpose,lt,la,ld,age,ndev,nuc,exp,rexp,sexp
0,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,1,1.0,4
1,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,2,2.0,3
2,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,3,3.0,0
3,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,4,4.0,0
4,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,5,5.0,0
5,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,6,6.0,4
6,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,7,7.0,5
7,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,8,8.0,0
8,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,9,9.0,0
9,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,10,10.0,0
10,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,11,11.0,0
11,9587beb2ee36a159b335845bc84469b68988cc30,2,1,4,1.7023560948322274,0,0,0.0,0.0,0.0,0,0,12,12.0,64
